eic_id,eic_gpn,eic_bu_code
19,CN010046232,CN403
35,CN010046454,CN405
39,CN010046247,CN403
66,CN010046536,CN403
79,CN01078X402,CN403
103,CN010046688,CN403
159,CN010046617,CN403
179,CN010046858,CN409
234,CN010047026,CN401
236,CN010047033,CN401
511,CN010010068,CN403
560,CN010010130,CN401
1044,CN010058488,CN407
1048,CN010058567,CN401
1067,CN010059186,CN401
1119,HK010061459,HK001
1152,CN010062085,CN401
1153,CN010062091,CN401
1275,CN010058715,CN401
1365,CN010059281,CN401
1367,CN010073030,CN401
1394,HK010059853,HK001
1450,CN010068708,CN403
1500,CN010071151,CN401
1684,CN010043362,CN403
1772,CN010044432,CN401
1773,CN010044487,CN401
1778,CN010044508,CN401
1906,CN010045052,CN413
1930,CN010043313,CN403
1982,CN010043390,CN403
2098,CN010057785,CN403
2102,CN010058333,CN401
2104,CN010058338,CN401
2124,CN010057796,CN403
2129,CN010058550,CN407
2225,CN010057982,CN403
2297,CN010057708,CN403
2460,CN010058587,CN406
2487,CN010058367,CN401
2652,CN010045500,CN407
2766,CN010044859,CN401
2811,CN01077X659,CN401
3026,CN010047875,CN407
3103,CN010048128,CN405
3187,CN010047944,CN405
3230,CN010048153,CN405
3697,HK010057252,HK001
3928,CN010057996,CN406
4028,CN010061812,CN417
4067,CN010062519,CN401
4208,CN010076765,CN403
4320,CN010076717,CN427
4332,CN010076885,CN403
4389,CN010077140,CN403
4441,CN010077959,CN405
4606,CN010088648,CN407
4700,CN010088940,CN403
4725,CN010077695,CN407
4731,CN010077733,CN407
4746,CN010077767,CN401
4878,CN010090681,CN407
4901,CN010085064,CN416
5001,CN010077481,CN403
5002,CN010077489,CN403
5070,CN010077705,CN403
5158,CN010077977,CN407
5183,CN010081109,CN403
5226,HK010082834,HK001
5329,CN010085964,CN401
5426,CN010086601,CN403
5436,CN010086760,CN401
5559,CN010087011,CN403
5585,CN010108754,CN403
5599,CN010108825,CN403
5621,CN010109042,CN403
5695,CN010088595,CN428
5736,CN010088289,CN403
5780,CN010109497,CN401
5806,CN010043173,CN410
5850,CN010110482,CN405
5859,CN010110703,CN403
5867,CN010043251,CN403
5895,CN010110886,CN403
5912,CN010110890,CN401
5936,CN010111233,CN403
5938,CN010111267,CN417
5951,CN010044227,CN423
6016,CN010044879,CN401
6032,CN010044929,CN411
6033,CN010044934,CN401
6075,CN010088644,CN407
6105,CN010088799,CN405
6110,HK010092108,HK001
6216,CN010045050,CN413
6305,CN010090923,CN403
6757,CN010082926,CN403
6858,HK010085710,HK001
6873,CN010085988,CN405
6922,CN010087019,CN403
6937,CN010106023,CN401
6946,CN010106181,CN417
