staff_id,staff_gpn,staff_bu_code
62,CN010046469,CN403
503,CN010010067,CN422
536,CN010010108,CN419
543,CN010010081,CN415
567,CN010010147,CN413
607,CN010015402,CN430
644,CN010015588,CN401
787,CN010016102,CN409
826,CN010016245,CN409
843,CN010017017,CN409
2820,CN010045969,CN403
3707,CN010053780,CN401
5075,CN010077726,CN403
5573,CN010087023,CN403
7375,CN010109575,CN403
8812,CN010140583,CN403
9066,CN010110504,CN407
9208,CN010109216,CN403
9491,CN010111010,CN403
10687,CN010160847,CN405
10769,CN010161119,CN407
10941,CN010149600,CN417
11256,CN010147197,CN407
11671,CN010126869,CN403
12577,CN010204500,CN401
13152,CN010200616,CN403
13206,CN010182707,CN403
13498,CN010186540,CN401
13701,CN010172552,CN412
13774,CN010174702,CN403
14081,CN010237314,CN405
14535,CN010222347,CN401
14819,CN010241728,CN401
15209,CN010234423,CN403
15234,CN010203503,CN422
15389,CN010237120,CN416
15668,CN010221411,CN401
15951,HK010229076,HK001
16286,CN010232927,CN403
16607,CN010262202,CN403
16618,CN010263305,CN411
16633,CN010263346,CN403
16634,CN010263349,CN403
16820,CN010263690,CN405
16921,CN010253358,CN405
17000,CN010264914,CN401
17142,CN010260354,CN401
17322,CN010263311,CN417
17383,CN010237739,CN407
17481,HK010259518,HK040
17959,CN010282036,CN403
18098,HK010285979,HK070
18577,CN010303556,CN403
18604,CN010303548,CN403
18970,CN010305896,CN405
19101,CN010265695,CN422
19197,CN010259544,CN403
19237,CN010259806,CN403
19626,CN010295516,CN403
19649,CN010295883,CN401
19673,CN010295921,CN401
19750,CN010295933,CN407
19939,CN010303339,CN403
20025,HK010307255,HK070
20038,CN010305814,CN415
20062,CN010305917,CN407
20121,CN010307881,CN403
20212,CN010308366,CN405
20275,CN010308547,CN403
20542,CN010316819,CN407
20704,CN010319056,CN403
20714,CN010316098,CN403
20937,CN010305424,CN401
21182,CN010328468,CN403
21200,CN010305794,CN407
21279,CN010328289,CN403
21282,CN010328308,CN403
21351,CN010328401,CN403
21353,HK010329032,HK001
21397,CN010329906,CN401
21497,CN010328646,CN407
21693,CN010332463,CN401
21715,CN010331998,CN427
21810,HK010333866,HK040
21816,CN010334042,CN403
21884,CN010334872,CN403
21920,CN010332425,CN415
22217,CN010328629,CN407
22375,CN010356270,CN415
22395,CN010356318,CN403
22458,CN010356367,CN403
22465,CN010356457,CN403
22527,CN010333335,CN401
22548,CN010318718,CN403
22734,CN010335139,CN405
22754,CN010338559,CN401
22900,CN010326845,CN419
23028,CN010356520,CN403
23029,CN010331695,CN403
23064,CN010356547,CN403
23097,CN010357584,CN410
23136,CN010332273,CN401
23156,CN010357330,CN403
23177,CN010358907,CN403
23231,CN010359654,CN407
23240,CN010332460,CN401
23253,CN010359695,CN407
23299,CN010359681,CN403
23310,CN010359702,CN407
23336,CN010359763,CN401
23345,CN010359787,CN401
23375,CN010333306,CN401
23485,CN010334427,CN401
23505,CN010362692,CN401
23562,CN010362797,CN401
23575,CN010335414,CN407
23620,CN010363613,CN405
23635,CN010363808,CN401
23636,CN010363824,CN403
23640,CN010363844,CN417
23695,CN010363604,CN405
23713,CN010363804,CN403
23841,HK010369099,HK001
23853,HK010369102,HK001
23872,CN010367435,CN401
23894,CN010368469,CN403
23968,CN010373929,CN417
24010,CN010395548,CN407
24061,CN010389982,CN401
24137,CN010362777,CN407
24164,CN010397337,CN407
24209,CN010392558,CN419
24228,CN010363428,CN403
24229,CN010363434,CN403
24241,CN010393161,CN714
24267,CN010393166,CN714
24277,CN010393177,CN773
24282,CN010393208,CN414
24285,CN010393223,CN414
24289,CN010393249,CN414
24290,CN010393255,CN414
24302,CN010393288,CN414
24312,CN010393303,CN414
24313,CN010399456,CN403
24343,CN010363853,CN407
24354,CN010399894,CN401
24357,HK010399912,HK001
24394,CN010393764,CN403
24405,CN010400610,CN403
24406,CN010393779,CN413
24453,CN010393850,CN403
24467,CN010394049,CN405
24471,CN010401073,CN405
24496,CN010394469,CN407
24506,CN010401119,CN403
24610,CN010397137,CN401
24616,CN010369589,CN405
24620,CN010397155,CN401
24675,CN010397311,CN409
24740,CN010403137,CN422
24744,CN010403148,CN401
24748,CN010403179,CN401
24795,HK010399101,HK001
24796,HK010399111,HK001
24822,CN010399534,CN403
24845,CN010399901,CN401
24890,CN010400371,CN407
24928,CN010401019,CN407
24989,CN010401823,CN722
25002,CN010387816,CN422
25018,CN010387846,CN422
25073,CN010389761,CN405
25083,CN010390020,CN405
25106,CN010391387,CN401
25234,CN010359672,CN407
25239,CN010393190,CN414
25243,CN010393207,CN414
25248,CN010393230,CN414
25249,CN010393231,CN414
25252,CN010393239,CN414
25324,CN010383752,CN415
25329,CN010393688,CN403
25330,CN010393689,CN403
25333,CN010393704,CN403
25409,CN010393800,CN403
25449,CN010387787,CN422
25451,CN010387794,CN422
25460,CN010394096,CN413
25463,CN010387806,CN422
25464,CN010387818,CN422
25465,CN010387820,CN422
25471,CN010394171,CN403
25474,CN010387830,CN422
25475,CN010387833,CN422
25476,CN010387834,CN422
25482,CN010394522,CN407
25489,CN010387847,CN422
25509,CN010376339,CN401
25604,HK010379531,HK001
25931,CN010356507,CN403
25991,CN010387799,CN422
25995,CN010387809,CN422
26060,CN010403135,CN422
26061,CN010403136,CN422
26129,CN010413756,CN403
26149,CN010403420,CN401
26323,CN010386727,CN403
26338,CN010407069,CN412
26342,HK010386786,HK001
26351,CN010422998,CN422
26353,CN010423008,CN422
26374,CN010423027,CN422
26375,CN010423030,CN422
26379,CN010423039,CN422
26405,CN010387793,CN422
26407,CN010387813,CN422
26410,CN010387824,CN422
26415,CN010387837,CN422
26416,CN010387839,CN422
26417,CN010387840,CN422
26548,CN010427341,CN403
26549,CN010427355,CN403
26572,CN010427753,CN405
26574,CN010427760,CN407
26582,CN010427791,CN407
26590,CN010427826,CN415
26598,CN010427907,CN415
26604,CN010427973,CN401
26642,CN010391614,CN420
26692,CN010392537,CN403
26715,CN010393165,CN714
26719,CN010393194,CN414
26726,CN010393216,CN414
26728,CN010393221,CN414
26779,CN010393234,CN414
26790,CN010393289,CN414
26799,CN010423013,CN422
26813,HK010432450,HK001
26823,CN010393677,CN403
26825,CN010393681,CN403
26828,CN010423037,CN422
26829,CN010423048,CN422
26850,CN010432670,CN414
26871,CN010393728,CN403
26875,CN010393753,CN407
26879,CN010393772,CN403
26882,CN010393793,CN403
26906,CN010432759,CN403
26923,CN010432803,CN403
26967,CN010394080,CN405
26970,CN010394187,CN419
26982,CN010394504,CN401
26983,CN010394505,CN401
26991,CN010395179,CN407
27014,HK010426960,HK001
27032,CN010427312,CN403
27036,CN010433039,CN403
27037,CN010433042,CN403
27059,CN010427345,CN403
27062,CN010427356,CN403
27073,CN010427799,CN407
27081,CN010427850,CN407
27091,CN010427873,CN405
27093,CN010427883,CN415
27095,CN010427894,CN405
27129,CN010433201,CN422
27162,CN010397146,CN401
27173,CN010429543,CN422
27178,CN010433367,CN401
27184,CN010433389,CN403
27212,CN010397234,CN401
27216,CN010433481,CN403
27241,CN010434787,CN414
27295,HK010431516,HK001
27306,CN010432455,CN403
27310,CN010432621,CN403
27316,CN010432647,CN416
27331,CN010432671,CN419
27355,CN010432729,CN403
27385,CN010397629,CN401
27423,CN010398667,CN415
27436,CN010432889,CN428
27440,CN010436683,CN419
27453,HK010399087,HK001
27466,CN010432923,CN416
27471,CN010432953,CN425
27529,CN010399874,CN401
27534,CN010399892,CN401
27561,CN010400314,CN422
27570,CN010433091,CN401
27577,CN010433132,CN412
27579,CN010400380,CN405
27581,CN010400402,CN407
27605,CN010433181,CN403
27669,HK010442673,HK001
27686,CN010433432,CN401
27690,CN010400999,CN407
27694,CN010443044,CN422
27711,CN010443709,CN401
27719,CN010434788,CN414
27744,CN010444692,CN403
27813,CN010436642,CN403
27814,CN010436644,CN403
27819,CN010447076,CN414
27830,CN010401086,CN405
27899,CN010401110,CN407
27925,CN010439330,CN401
27937,HK010451479,HK001
27949,CN010440286,CN414
27950,CN010440287,CN403
27957,CN010401232,CN403
27986,CN010401578,CN401
27993,CN010452252,CN401
27996,CN010452529,CN403
28024,CN010473898,CN406
28030,CN010483433,CN403
28048,HK010474178,HK001
28057,HK010474200,HK001
28059,HK010474224,HK001
28061,CN010483958,CN405
28071,CN010427782,CN407
28081,CN010427841,CN407
28082,CN010427859,CN407
28132,CN010485945,CN401
28155,CN010475322,CN403
28156,CN010475332,CN403
28171,CN010487317,CN407
28216,CN010489590,CN401
28218,CN010476501,CN401
28221,CN010476531,CN401
28247,CN010489952,CN401
28268,CN010478210,CN405
28295,CN010490711,CN401
28297,CN010490743,CN403
28315,CN010432498,CN422
