name_query,code,main_service_line,sub_service_line,engage_nature
AUD2020,21833978,2,1,0
CAS21AU,22622413,2,2,1
INT2021,22609333,1,1,1
Project,22860678,2,4,1
Project,23137453,2,4,1
AUD2020,22491743,2,1,1
AUD2020,22493003,1,1,1
IFRS16 ,22379518,2,2,1
NTS2021,22379793,1,1,1
2021 CS,23074878,2,3,1
Project,23074938,2,4,1
Rookie ,23075058,2,4,1
2022-20,23075068,2,3,1
2021-PS,23075118,2,5,1
Consoli,23075408,2,2,1
Project,23076238,2,4,1
AUD2021,23076488,1,1,1
AUD2021,23076538,1,1,1
IPO2017,23076558,2,1,1
AUD2021,23076703,1,1,1
AUP2021,23076793,1,1,1
AUD2021,23175953,2,1,1
AUD2021,23175958,2,1,1
SPC2022,23176143,1,1,1
IPO2021,23176378,2,1,1
IPO2021,23176393,2,1,1
2021 ES,23176483,2,3,1
WuXi Bi,23176488,2,3,1
AUP2022,23176578,1,1,1
Dongfen,23176953,2,2,1
AUP2020,22366018,2,1,1
AUP2020,22366023,2,1,1
AUD2012,22404343,2,1,1
IPO2021,22404903,2,1,1
CAP2021,22405293,1,1,1
Industr,20865238,1,3,1
AUD2018,20880873,2,5,1
NANJING,15742163,2,1,1
AUD2019,20896738,2,1,0
AUD2019,20907218,2,1,0
2020 ES,22371128,2,3,1
AUP2020,22371438,1,1,1
Danvill,22371573,2,4,1
AUP2021,23169198,2,1,1
AUP2021,23169203,2,1,1
IPO2021,23169248,2,1,1
AUD2022,23169373,2,1,1
AUD2021,23169393,1,1,1
Project,23169473,2,4,1
AUP2022,23172048,1,1,1
AUD2022,22907828,1,1,0
AUP2021,22907878,2,1,1
AUP2021,22907908,2,1,1
AUD2022,22907938,2,1,0
AUD2022,22907963,2,1,0
2021 ES,22908063,2,3,1
AUD2022,22908073,1,1,0
2021 ES,22908078,2,3,1
AUD2021,22908168,2,1,1
AUD2020,22592288,2,1,1
NewLeas,22592393,2,2,1
AUD2021,22592623,1,1,1
IPO2020,22592698,2,1,1
AUD2021,22592858,1,1,1
AUD2021,22592873,1,1,1
EFBX-AU,22592893,1,1,1
AUD2021,22592928,1,1,1
AUD2021,22593318,1,1,1
Project,22336568,2,4,1
IPO2020,22339668,2,1,1
HDD Pur,12682028,2,4,1
Admin -,16028023,2,1,1
Admin -,16028043,2,1,1
Admin -,16028053,2,3,1
Admin -,16028058,2,1,1
ASU Par,16028063,1,1,1
SPC2018,20406243,1,1,1
Tokyo B,20558613,1,3,1
Investi,20659233,2,4,1
On-call,20673933,2,2,1
Greater,20683873,1,1,1
AUD2019,20684833,2,5,1
IPO2018,20709363,2,1,1
BJ FSO ,15148103,1,1,1
柬埔寨西港2×,19895413,2,5,1
ASU Par,16028103,2,1,1
ASU Par,16028123,2,1,1
Admin -,16028128,2,1,1
Admin -,16028133,2,1,1
Admin -,16028153,2,1,1
Admin -,16028163,2,1,1
Admin -,16028178,2,4,1
Admin -,16028188,2,1,1
Admin -,16028213,2,1,1
Admin -,16028238,2,1,1
Admin -,16028243,2,1,1
Admin -,16028268,2,1,1
Admin -,16028288,2,1,1
Admin -,16028293,2,1,1
Admin -,16028323,2,1,1
Admin -,16028363,2,1,1
Admin -,16028383,2,1,1
Admin -,16028398,2,1,1
Admin -,16028403,2,1,1
Admin -,16028408,2,1,1
Admin -,16028438,2,1,1
Admin -,16028478,2,1,1
Admin -,16028483,1,1,1
Admin -,16028488,2,1,1
Admin -,16028498,2,5,1
Admin -,16028528,2,1,1
Admin -,16028538,2,1,1
Admin -,16028543,2,1,1
CSRC-Sh,13359143,1,1,1
IPO Ins,17096463,2,1,1
Admin -,17131288,2,1,1
Admin -,17131378,2,1,1
Admin -,17131383,2,5,1
Admin -,17131398,1,1,1
Admin -,17131873,2,4,1
TIME IN,13950853,2,4,1
TIME IN,13950893,2,4,1
SHANGHA,17440618,2,4,1
BEIJING,17440633,2,4,1
AUD2014,17456078,2,1,1
Admin -,18048958,2,1,1
AUD2015,18173158,1,1,1
AUD2015,18175968,2,1,1
Admin -,18649918,2,2,1
Admin -,18650083,2,1,1
Admin -,18650113,2,1,1
Admin -,18650178,2,1,1
Admin -,18650223,2,1,1
Admin -,18650243,2,4,1
Admin -,18650278,2,1,1
ZHENGZH,18971703,2,1,1
XIAN AS,18971708,2,1,1
AUD2017,19001613,2,5,1
AUD2016,19001623,2,5,1
ESG ris,22747988,2,3,1
IPO2021,22748363,2,1,1
