id,eng_type
29340,101
35849,101
45300,101
45938,101
50062,101
51065,101
81441,101
81456,101
81461,101
81475,101
81476,101
81480,101
81493,101
81497,101
81502,101
81509,101
81510,101
81511,101
81519,101
81537,101
81550,101
81570,101
81571,101
81572,101
81573,101
81575,101
81576,101
81580,101
81581,101
81592,101
81593,101
81610,101
81632,101
81634,101
81637,101
81638,101
81643,101
81651,101
81652,101
81653,101
81654,101
81656,101
81657,101
81658,101
81659,101
81660,101
81663,101
81670,101
81671,101
81672,101
81676,101
81696,101
81704,101
81707,201
81708,101
81710,101
81712,101
81713,101
81745,101
81752,101
81753,101
81758,101
81759,101
81767,101
81781,101
81782,101
81796,101
81799,101
81808,101
81809,101
81810,101
81812,101
81814,101
81815,101
81816,101
81817,101
81821,101
81823,101
81824,101
81828,101
81832,101
81834,101
81835,101
81836,101
81838,101
81841,101
81844,101
81845,101
81846,101
81847,101
81849,101
81850,101
81851,101
81852,101
81853,101
81854,101
81855,101
81857,101
81863,101
81869,101
81872,101
81874,101
81875,101
81876,101
81880,101
81881,101
81882,101
81884,101
81887,101
81888,101
81896,101
81898,101
81918,101
81921,101
81953,201
81977,201
81978,201
81980,201
81981,201
81982,201
81985,101
82000,101
82036,101
82043,101
82044,101
82071,101
82073,101
82076,201
82077,101
82085,101
82129,101
82217,201
82232,101
82238,201
82240,201
82241,201
82242,201
82243,201
82244,201
82246,201
82247,201
82248,201
82251,201
82252,201
82254,201
82255,201
82256,201
82259,201
82265,201
82267,201
82268,201
82269,201
82270,201
82273,201
82276,201
82277,201
82278,201
82279,201
82281,201
82283,201
82284,201
82291,101
82322,201
82330,201
82333,201
82334,201
82335,201
82337,201
82358,201
82359,201
82363,201
82364,201
82366,101
82394,201
82397,101
82399,101
82414,201
82417,201
82418,201
82419,201
82420,201
82421,201
82423,201
82483,201
82484,201
82486,101
82487,101
82508,101
82516,101
82522,101
82529,101
82533,101
82542,101
82548,101
82549,101
82550,101
82557,101
82560,101
82563,101
82577,101
82578,101
82579,201
82580,201
82581,201
82582,201
82583,201
82584,201
82585,201
82586,201
82587,201
82588,201
82589,201
82596,101
82605,101
82607,101
82613,101
82615,101
82617,101
82618,101
82619,101
82627,101
82633,201
82648,101
82683,101
82736,101
82741,101
82785,101
82788,101
82803,101
82807,101
82821,201
82822,201
82823,201
82824,201
82825,201
82827,201
82829,201
82830,201
82831,201
82834,201
82835,201
82839,201
82840,201
82842,201
82845,201
82847,201
82848,201
82850,201
82851,201
82852,201
82853,201
82854,201
82861,201
82862,201
82865,201
82867,201
82870,201
82871,201
82872,201
82873,201
82874,201
82875,201
82882,201
82883,201
82884,201
82885,201
82887,201
82891,201
82892,201
82893,201
82898,201
82899,201
82900,201
82901,201
82905,201
82917,101
82936,101
82938,101
82952,101
82960,101
82964,101
82970,201
82971,101
83021,201
83030,101
83038,101
83041,101
83046,101
83055,101
83057,101
83066,101
83075,101
83082,101
83084,101
83085,101
83087,101
83088,101
83091,101
83092,101
83093,101
83094,101
83097,101
83114,101
83117,101
83128,101
83134,101
83135,101
83139,101
83140,101
83141,101
83143,101
83148,101
83150,101
83170,101
83171,101
83172,101
83174,101
83180,101
83191,101
83201,101
83202,101
83210,101
83212,101
83214,101
83216,101
83217,101
83225,201
83226,101
83251,101
83270,101
83271,101
83278,101
83279,101
83299,101
83304,101
83315,101
83316,101
83322,101
83336,101
83338,101
83339,101
83340,101
83342,101
83347,101
83364,101
83371,101
83383,101
83384,101
83387,101
83388,101
83389,101
83393,101
83405,101
83406,101
83409,101
83415,101
83425,201
83426,201
83427,201
83428,201
83429,201
83430,201
83434,101
83437,101
83438,101
83440,101
83528,101
83534,101
83563,101
83564,101
83580,101
83582,101
83583,101
83590,101
83600,101
83601,101
83605,101
83614,101
83616,101
83617,101
83623,101
83632,101
83655,101
83656,101
83673,101
83675,101
83690,101
83691,101
83698,101
83699,101
83712,101
83713,101
83714,101
83716,101
83717,101
83718,101
83719,101
83720,101
83721,101
83722,101
83725,101
83732,101
83734,101
83737,101
83738,101
83739,101
83740,101
83741,101
83742,101
83743,101
83744,101
83746,101
83747,101
83748,101
83749,101
83750,101
83751,101
83752,101
83753,101
83772,101
83787,101
83790,101
83792,101
83795,101
83797,101
83799,101
83802,101
83814,101
83824,101
83845,101
83850,101
83851,101
83855,101
83858,101
83866,101
83884,101
83890,201
83891,201
83934,101
83936,101
83940,101
83942,101
83951,101
83961,101
83977,101
83978,101
83979,101
83981,101
83984,101
83985,101
83996,101
84003,101
84010,101
84011,101
84019,101
84024,201
84027,101
84032,101
84037,101
84040,101
84041,101
84044,101
84060,201
84063,101
84066,201
84067,201
84071,101
84076,101
84077,101
84087,101
84088,101
84089,101
84101,101
84102,101
84103,101
84110,101
84113,101
84116,101
84121,101
84142,101
84143,101
84144,101
84154,201
84171,101
84177,101
84184,101
84189,101
84192,101
84193,101
84204,201
84213,201
84220,101
84226,101
84227,101
84232,101
84236,101
84246,101
84252,101
84267,101
84270,101
84273,101
84283,101
84284,101
84285,101
84286,101
84287,101
84290,101
84291,101
84292,101
84293,101
84294,101
84295,101
84299,101
84300,101
84303,101
84304,101
84305,101
84310,101
84311,101
84317,101
84320,101
84321,101
84322,101
84323,101
84324,101
84327,101
84329,101
84331,101
84332,101
84333,101
84334,101
84338,101
84340,101
84341,101
84343,101
84347,101
84348,101
84349,101
84352,101
84355,101
84357,101
84359,101
84360,101
84361,101
84365,101
84366,101
84368,101
84369,101
84370,101
84372,101
84375,101
84376,101
84377,101
84378,101
84380,101
84383,101
84385,101
84387,101
84390,101
84391,101
84396,101
84397,101
84398,101
84399,101
84402,101
84403,101
84404,101
84405,101
84407,101
84408,101
84409,101
84410,101
84413,101
84414,101
84418,101
84419,101
84424,101
84427,101
84430,101
84431,101
84433,101
84435,101
84437,101
84441,101
84442,101
84445,101
